system   D            wsystem.c:583  maybe_parent_dir                 [   0.01380] Also searching E:\Carpeta de clase MASTER\Apuntes\projects\campos\
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.09615] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.09618] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.10529] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.13953] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.13956] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.13958] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.13960] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.13962] Returning d3d_display: 0051FD98
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.13963] al_display=0051FD98
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.13964] al_display->vt=0051F010
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [  14.00190] destroying display 0051FD98 (current 00000000)
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [  14.00205] waiting for display 0051FD98's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [  14.00381] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [  14.01509] d3d display thread exits
